Day,Boksit,Izvestnyak,KoncentratZ,Okatysh,EmptyWagon,RudaZ,Ugol
01.10.2021 00:00:00,14888.4,6275,"","",13400,11937.8,32493
02.10.2021 00:00:00,19857,"","","",19959.9,5960,25947.2
03.10.2021 00:00:00,9928.3,6273,"","",16602,17918,45019.2
04.10.2021 00:00:00,19851.5,6275,"","",14929,5964,52171
05.10.2021 00:00:00,4961.5,6274,"","",11572,11877,39041.9
06.10.2021 00:00:00,24814.5,"","","",16437,5981,25945.4
07.10.2021 00:00:00,4963,6271,"","",6580,11936,12550.6
08.10.2021 00:00:00,14887.4,6273,"","",15175,5974,38210.01
09.10.2021 00:00:00,"",6268,"","",16403,11924,45044.4
10.10.2021 00:00:00,19854.4,"","","",16654.1,5980,44771.3
11.10.2021 00:00:00,4961.9,6269,"","",16524.9,11931,45042.1
12.10.2021 00:00:00,19852.5,6269,"","",18194,11952,38772.2
13.10.2021 00:00:00,14887.8,6267,"","",15180,11896,58423.6
14.10.2021 00:00:00,4963.3,6273,"","",19614.7,5966,64426.3
15.10.2021 00:00:00,4963.5,"","","",19635,11948,51318.7
16.10.2021 00:00:00,9928.7,6270,"","",23309.7,5982,39046.4
17.10.2021 00:00:00,4960.7,"","","",19738,11917,57870.4
18.10.2021 00:00:00,14889.7,6269,"","",16533,17915,44764.2
19.10.2021 00:00:00,14889.7,6266.1,"","",14895.4,11907,32494.1
20.10.2021 00:00:00,14891,6178,"","",13111,"",51315.4
21.10.2021 00:00:00,4959.9,6271.8,"","",16395.4,17937,38484.3
22.10.2021 00:00:00,9925.6,"","","",18301,11907,45608
23.10.2021 00:00:00,4962.2,6268,"","",18199,11959,32213.3
24.10.2021 00:00:00,24813.1,"","","",21499,5972,51876
25.10.2021 00:00:00,4964.1,6269,"","",13194,11945,45604.1
26.10.2021 00:00:00,14792.3,6266,"","",19517,11913,39047.3
27.10.2021 00:00:00,19851.4,"","","",18172,5980,45321.9
28.10.2021 00:00:00,19854.9,6272.6,"","",18098,5978,52155
29.10.2021 00:00:00,9923.7,6268.2,"","",15149,5961,45324.6
30.10.2021 00:00:00,14890.7,6273,"","",18253,17889,38957.1
31.10.2021 00:00:00,4962.2,"","","",20298,"",58432.3
01.11.2021 00:00:00,9928.4,6270.5,"","",21993,11927,58430.7
02.11.2021 00:00:00,14888.4,6272.4,"","",21394.6,11924,51880
03.11.2021 00:00:00,4962.4,6274.5,"","",18187,5980,45318.3
04.11.2021 00:00:00,14887.7,6962.6,"","",16368.9,11815,51880.4
05.11.2021 00:00:00,9926.3,6271.4,"","",21531,11914,52434.2
06.11.2021 00:00:00,14886.3,6273.1,"","",19764,5960,26221.3
07.11.2021 00:00:00,4962.2,6270.8,"","",13313,5960,70696.9
08.11.2021 00:00:00,"",6273.9,"","",19717,17896,45041.2
09.11.2021 00:00:00,4963.5,"","","",15001,5973,52438.51
10.11.2021 00:00:00,4962.9,12538.2,"","",16467,5981,57866.4
11.11.2021 00:00:00,4963.3,"","","",16402,11910,51870.5
12.11.2021 00:00:00,9924.4,6268.1,"","",17969,5972,51592.7
13.11.2021 00:00:00,14894.7,6270,"","",18137,11941,45042.1
14.11.2021 00:00:00,9922.3,12543,"","",16721,5943,51306.5
15.11.2021 00:00:00,4963.5,"","","",18273,11917,70978.1
